DYJetsToLLM10to50_2018/
nentries=2122281 nMax=2122281
nentries=1374027 nMax=1374027
nentries=1251576 nMax=1251576
nentries=66230 nMax=66230
nentries=2121827 nMax=2121827
nentries=2113105 nMax=2113105
nentries=1126741 nMax=1126741
nentries=2121341 nMax=2121341
nentries=1590987 nMax=1590987
nentries=1689862 nMax=1689862
nentries=2121519 nMax=2121519
nentries=351150 nMax=351150
WJetsToLNu_1J_2018/
nentries=110630 nMax=110630
nentries=47396 nMax=47396
nentries=1929372 nMax=1929372
nentries=1939709 nMax=1939709
nentries=1931697 nMax=1931697
nentries=1929203 nMax=1929203
nentries=933145 nMax=933145
nentries=1332119 nMax=1332119
nentries=1115566 nMax=1115566
nentries=1264045 nMax=1264045
nentries=613636 nMax=613636
nentries=1952901 nMax=1952901
nentries=1933231 nMax=1933231
nentries=1928919 nMax=1928919
nentries=1930417 nMax=1930417
nentries=1931581 nMax=1931581
nentries=1931336 nMax=1931336
nentries=132889 nMax=132889
nentries=1064200 nMax=1064200
nentries=1199463 nMax=1199463
nentries=1332075 nMax=1332075
nentries=1928726 nMax=1928726
nentries=1266115 nMax=1266115
nentries=665218 nMax=665218
nentries=998823 nMax=998823
nentries=1532242 nMax=1532242
nentries=666838 nMax=666838
nentries=1139952 nMax=1139952
nentries=1597399 nMax=1597399
nentries=1929115 nMax=1929115
nentries=66655 nMax=66655
nentries=1469495 nMax=1469495
nentries=1389832 nMax=1389832
nentries=199425 nMax=199425
nentries=1933566 nMax=1933566
nentries=944913 nMax=944913
nentries=3075 nMax=3075
nentries=27548 nMax=27548
nentries=150237 nMax=150237
nentries=190453 nMax=190453
nentries=1684546 nMax=1684546
nentries=1266042 nMax=1266042
nentries=1930558 nMax=1930558
nentries=1929948 nMax=1929948
nentries=1930318 nMax=1930318
nentries=108803 nMax=108803
nentries=1691126 nMax=1691126
nentries=199445 nMax=199445
nentries=1398750 nMax=1398750
nentries=1795550 nMax=1795550
nentries=1203827 nMax=1203827
nentries=995895 nMax=995895
nentries=1065775 nMax=1065775
nentries=132545 nMax=132545
